Departamento	PromedioPuntaje	PMaximo	PMinimo
ANTIOQUIA	269.5	428	142
ARAUCA	214.0	290	140
ATLANTICO	314.8	424	145
BOGOTA	301.7	450	135
BOLIVAR	274.7	427	147
BOYACA	238.1	342	158
CALDAS	274.8	433	155
CAQUETA	213.9	388	162
CASANARE	219.2	287	137
CAUCA	276.4	443	132
CESAR	253.8	397	143
CHOCO	199.5	240	172
CORDOBA	293.9	382	158
CUNDINAMARCA	271.7	428	150
GUAINIA	212.9	286	152
GUAVIARE	242.5	267	216
HUILA	223.8	333	148
LA GUAJIRA	308.4	407	162
MAGDALENA	289.8	427	127
META	222.2	315	159
NARIÃ‘O	280.5	415	111
NORTE SANTANDER	226.8	330	147
PUTUMAYO	217.5	302	157
QUINDIO	304.0	425	174
RISARALDA	290.6	430	151
SAN ANDRES	211.5	253	170
SANTANDER	275.8	475	146
SUCRE	191.1	244	172
TOLIMA	229.9	333	157
VALLE	289.8	452	103